address,object_type,floors,contruction_date,square
"г Уфа, б-р. Славы, д.18",Многоквартирный дом,5,1961-01-01 00:00:00,3213.5
"г Уфа, б-р. Славы, д.2",Другое строение,1,,0.01
"г Уфа, б-р. Славы, д.2 корп.1",Многоквартирный дом,12,1982-01-01 00:00:00,3858.5
"г Уфа, б-р. Славы, д.2 корп.1цтп",Другое строение,1,1982-01-01 00:00:00,0.01
"г Уфа, б-р. Славы, д.2 корп.2",Многоквартирный дом,12,1984-01-01 00:00:00,3813.9
"г Уфа, б-р. Славы, д.2 корп.3",Многоквартирный дом,12,1983-01-01 00:00:00,4203.4
"г Уфа, б-р. Славы, д.3",Многоквартирный дом,5,1963-01-01 00:00:00,2556.7
"г Уфа, б-р. Славы, д.4",Многоквартирный дом,5,1964-01-01 00:00:00,2541.8
"г Уфа, б-р. Славы, д.4 корп.2",Другое строение,1,,0.01
"г Уфа, б-р. Славы, д.5",Многоквартирный дом,5,1985-01-01 00:00:00,2914.0
"г Уфа, б-р. Славы, д.6",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби",Другое строение,0,,
"г Уфа, б-р. Тухвата Янаби, д.22",Многоквартирный дом,14,2000-01-01 00:00:00,16021.7
"г Уфа, б-р. Тухвата Янаби, д.24",Многоквартирный дом,9,1988-01-01 00:00:00,10067.5
"г Уфа, б-р. Тухвата Янаби, д.26",Многоквартирный дом,9,1982-01-01 00:00:00,7519.4
"г Уфа, б-р. Тухвата Янаби, д.26 корп.1",Другое строение,2,1986-01-01 00:00:00,0.01
"г Уфа, б-р. Тухвата Янаби, д.28",Многоквартирный дом,9,1982-01-01 00:00:00,3801.1
"г Уфа, б-р. Тухвата Янаби, д.28 корп.1",Другое строение,2,,0.02
"г Уфа, б-р. Тухвата Янаби, д.30",Многоквартирный дом,9,1982-01-01 00:00:00,3814.2
"г Уфа, б-р. Тухвата Янаби, д.30 корп.1",Многоквартирный дом,9,1982-01-01 00:00:00,7514.1
"г Уфа, б-р. Тухвата Янаби, д.32",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби, д.32 корп.1",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби, д.34","Административные здания, конторы",2,,0.01
"г Уфа, б-р. Тухвата Янаби, д.34",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби, д.34",Другое строение,2,,0.01
"г Уфа, б-р. Тухвата Янаби, д.34 корп.2",Другое строение,1,2013-01-01 00:00:00,0.01
"г Уфа, б-р. Тухвата Янаби, д.36",Другое строение,1,2016-01-01 00:00:00,0.01
"г Уфа, б-р. Тухвата Янаби, д.4",Многоквартирный дом,13,2015-01-01 00:00:00,19871.92
"г Уфа, б-р. Тухвата Янаби, д.45",Многоквартирный дом,9,1981-01-01 00:00:00,11309.0
"г Уфа, б-р. Тухвата Янаби, д.47",Многоквартирный дом,9,1982-01-01 00:00:00,8695.4
"г Уфа, б-р. Тухвата Янаби, д.47 корп.1","Жилое здание (Гостиница, Общежитие)",1,1981-01-01 00:00:00,0.01
"г Уфа, б-р. Тухвата Янаби, д.49",Многоквартирный дом,9,1978-01-01 00:00:00,11266.0
"г Уфа, б-р. Тухвата Янаби, д.49 корп.1",Многоквартирный дом,9,1978-01-01 00:00:00,3857.4
"г Уфа, б-р. Тухвата Янаби, д.49 корп.2",Многоквартирный дом,9,1978-01-01 00:00:00,3864.7
"г Уфа, б-р. Тухвата Янаби, д.49 корп.3",Многоквартирный дом,9,1978-01-01 00:00:00,7507.5
"г Уфа, б-р. Тухвата Янаби, д.49 корп.4",Другое строение,3,,0.01
"г Уфа, б-р. Тухвата Янаби, д.51",Многоквартирный дом,9,1979-01-01 00:00:00,7622.1
"г Уфа, б-р. Тухвата Янаби, д.51 корп.1",Другое строение,2,1980-01-01 00:00:00,0.01
"г Уфа, б-р. Тухвата Янаби, д.53",Многоквартирный дом,9,1986-01-01 00:00:00,9182.05
"г Уфа, б-р. Тухвата Янаби, д.53 корп.1",Многоквартирный дом,9,1986-01-01 00:00:00,2167.1
"г Уфа, б-р. Тухвата Янаби, д.53 корп.2",Многоквартирный дом,9,1985-01-01 00:00:00,6547.6
"г Уфа, б-р. Тухвата Янаби, д.57",Многоквартирный дом,9,1974-01-01 00:00:00,11155.1
"г Уфа, б-р. Тухвата Янаби, д.57 корп.1",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби, д.59",Многоквартирный дом,9,1975-01-01 00:00:00,7571.5
"г Уфа, б-р. Тухвата Янаби, д.59 корп.1",Многоквартирный дом,9,1975-01-01 00:00:00,3800.9
"г Уфа, б-р. Тухвата Янаби, д.59 корп.2",Другое строение,4,1976-01-01 00:00:00,0.01
"г Уфа, б-р. Тухвата Янаби, д.61",Многоквартирный дом,9,1974-01-01 00:00:00,7598.8
"г Уфа, б-р. Тухвата Янаби, д.61 корп.1",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби, д.63",Многоквартирный дом,9,1975-01-01 00:00:00,7511.2
"г Уфа, б-р. Тухвата Янаби, д.65",Многоквартирный дом,9,1973-01-01 00:00:00,7507.41
"г Уфа, б-р. Тухвата Янаби, д.65 корп.1",Многоквартирный дом,9,1974-01-01 00:00:00,3813.7
"г Уфа, б-р. Тухвата Янаби, д.65 корп.2.",Дет.ясли и сады,2,,0.01
"г Уфа, б-р. Тухвата Янаби, д.65 корп.3",Многоквартирный дом,9,1978-01-01 00:00:00,4357.5
"г Уфа, б-р. Тухвата Янаби, д.67",Многоквартирный дом,9,1975-01-01 00:00:00,10991.0
"г Уфа, б-р. Тухвата Янаби, д.69",Многоквартирный дом,9,1973-01-01 00:00:00,7549.9
"г Уфа, б-р. Тухвата Янаби, д.69 корп.1",Многоквартирный дом,9,1973-01-01 00:00:00,3854.0
"г Уфа, б-р. Тухвата Янаби, д.69 корп.2.",Дет.ясли и сады,2,,0.01
"г Уфа, б-р. Тухвата Янаби, д.71",Многоквартирный дом,12,1978-01-01 00:00:00,4045.3
"г Уфа, б-р. Тухвата Янаби, д.71 корп.1",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби, д.71 корп.2","Административные здания, конторы",1,,0.0
"г Уфа, б-р. Тухвата Янаби, д.71 корп.2",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби, д.71 корп.Б",Другое строение,1,,0.01
"г Уфа, б-р. Тухвата Янаби, д.73",Многоквартирный дом,2,1960-01-01 00:00:00,563.7
"г Уфа, б-р. Тухвата Янаби, д.75",Многоквартирный дом,2,1959-01-01 00:00:00,561.5
"г Уфа, б-р. Тухвата Янаби, д.75 корп.А",Многоквартирный дом,2,1959-01-01 00:00:00,560.3
"г Уфа, б-р. Тухвата Янаби, д.75 корп.Б",Многоквартирный дом,2,1960-01-01 00:00:00,560.5
"г Уфа, б-р. Тухвата Янаби, д.77",Многоквартирный дом,2,1960-01-01 00:00:00,570.6
"г Уфа, б-р. Тухвата Янаби, д.79",Многоквартирный дом,2,1960-01-01 00:00:00,577.0
"г Уфа, б-р. Тухвата Янаби, д.81",Многоквартирный дом,2,1960-01-01 00:00:00,558.1
"г Уфа, б-р. Тухвата Янаби, д.81 корп.А",Многоквартирный дом,2,1960-01-01 00:00:00,551.8
"г Уфа, б-р. Тюлькина, д.3",Другое строение,1,,0.01
"г Уфа, б-р. Тюлькина, д.3",Многоквартирный дом,13,1994-01-01 00:00:00,5642.9
"г Уфа, б-р. Тюлькина, д.4",Другое строение,2,,0.01
"г Уфа, б-р. Тюлькина, д.5",Многоквартирный дом,12,1983-01-01 00:00:00,2776.3
